Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/RCA-StudioII/Manuals/Addition + Bowling + Doodle + Freeway + Patterns.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FAddition%20%2B%20Bowling%20%2B%20Doodle%20%2B%20Freeway%20%2B%20Patterns.pdf,258865,26aeedf9541bae4fd609676f3a29be2b,,,Addition + Bowling + Doodle + Freeway + Patterns.pdf
docs/RCA-StudioII/Manuals/Gambler I.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FGambler%20I.pdf,902783,8cb98ff14f1ba3ef61674322f5c2f235,,,Gambler I.pdf
docs/RCA-StudioII/Manuals/Speedway + Tag.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FSpeedway%20%2B%20Tag.pdf,617471,5928e54594af786761e2b7c9e836bfc2,,,Speedway + Tag.pdf
docs/RCA-StudioII/Manuals/Sports Fan.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FSports%20Fan.pdf,793749,b6a49fd0e04773adb86dc97e8fd7a794,,,Sports Fan.pdf
docs/RCA-StudioII/Manuals/Star Wars.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FStar%20Wars.pdf,799806,718948bb65a269f2550eab8b61f5c342,,,Star Wars.pdf
docs/RCA-StudioII/Manuals/TV Arcade I - Space War.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FTV%20Arcade%20I%20-%20Space%20War.pdf,625567,3af917625da97a1d8babe8d54134697a,,,TV Arcade I - Space War.pdf
docs/RCA-StudioII/Manuals/TV Arcade II - Fun with Numbers.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FTV%20Arcade%20II%20-%20Fun%20with%20Numbers.pdf,958147,f7e6ac9b36ae5fdf3ad54d562ea932ac,,,TV Arcade II - Fun with Numbers.pdf
docs/RCA-StudioII/Manuals/TV Arcade III - Tennis + Squash.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FTV%20Arcade%20III%20-%20Tennis%20%2B%20Squash.pdf,801254,325b29f90a45e577d0ee0f7d38cc65ff,,,TV Arcade III - Tennis + Squash.pdf
docs/RCA-StudioII/Manuals/TV Arcade Series - Gunfighter + Moonship Battle.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FTV%20Arcade%20Series%20-%20Gunfighter%20%2B%20Moonship%20Battle.pdf,645127,c375aeab3adfd05d31ed72d18a9d8b16,,,TV Arcade Series - Gunfighter + Moonship Battle.pdf
docs/RCA-StudioII/Manuals/TV Mystic Series - Biorhythm.pdf,https://archive.org/download/mister-manuals/1977_RCA%20Studio%20II.zip/1977_RCA%20Studio%20II%2FTV%20Mystic%20Series%20-%20Biorhythm.pdf,791799,3af5729e9ca1a72bba2aecd11dcf0470,,,TV Mystic Series - Biorhythm.pdf
